"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AR465","M48","NRS1","P10","R50","V521"
"group_2204","","hypothetical protein","6","6","1","1","2561","","","","152","152","152","AR465_01484","M48_01843","NRS1_01832","P10_01729","R50_01832","V521_01894"
"infA","","Translation initiation factor IF-1","6","6","1","1","3169","","","","218","218","218","AR465_00025","M48_02468","NRS1_02151","P10_01284","R50_02151","V521_02507"
"group_2206","","hypothetical protein","6","6","1","1","2466","","","","224","224","224","AR465_01568","M48_01757","NRS1_01758","P10_01813","R50_01758","V521_01808"
"rho","","Transcription termination factor Rho","6","6","1","1","1211","","","","1316","1316","1316","AR465_02644","M48_02355","NRS1_02052","P10_01453","R50_02052","V521_02398"
"cspLA","","Cold shock-like protein CspLA","6","6","1","1","757","","","","200","200","200","AR465_00497","M48_02965","NRS1_02623","P10_00815","R50_02623","V521_02999"
"gpsB","","Cell cycle protein GpsB","6","6","1","1","1926","","","","344","344","344","AR465_01890","M48_01434","NRS1_01374","P10_02199","R50_01374","V521_01482"
"group_221","btuD_3","Linearmycin resistance ATP-binding protein LnrL","6","6","1","1","3641","","","","338","899","805","AR465_02013","M48_01310","NRS1_01236","P10_02322","R50_01236","V521_01356"
"pxpC_1","","5-oxoprolinase subunit C","6","6","1","1","1540","","","","1004","1004","1004","AR465_01215","M48_00771","NRS1_00634","P10_00123","R50_00634","V521_00811"
"rlmH","","Ribosomal RNA large subunit methyltransferase H","6","6","1","1","792","","","","479","479","479","AR465_00532","M48_00027","NRS1_02658","P10_00780","R50_02658","V521_00026"
"ftsZ","","Cell division protein FtsZ","6","6","1","1","3498","","","","1172","1172","1172","AR465_02149","M48_01167","NRS1_01097","P10_02458","R50_01097","V521_01216"
"katA","","Catalase","6","6","1","1","3656","","","","1517","1517","1517","AR465_01998","M48_01325","NRS1_01251","P10_02307","R50_01251","V521_01371"
"isdC","","Iron-regulated surface determinant protein C","6","6","1","1","3443","","","","683","683","683","AR465_02206","M48_01113","NRS1_01042","P10_02515","R50_01042","V521_01160"
"group_2215","","hypothetical protein","6","6","1","1","1525","","","","1349","1349","1349","AR465_01200","M48_00756","NRS1_00619","P10_00138","R50_00619","V521_00796"
"mta","","HTH-type transcriptional activator mta","6","6","1","1","25","","","","740","740","740","AR465_00183","M48_02627","NRS1_02309","P10_01127","R50_02309","V521_02666"
"dtd3","","D-aminoacyl-tRNA deacylase","6","6","1","1","483","","","","773","773","773","AR465_00983","M48_00530","NRS1_00397","P10_00355","R50_00397","V521_00568"
"hup","","DNA-binding protein HU","6","6","1","1","1952","","","","272","272","272","AR465_01864","M48_01460","NRS1_01400","P10_02173","R50_01400","V521_01508"
"queH","","Epoxyqueuosine reductase QueH","6","6","1","1","281","","","","722","722","722","AR465_00384","M48_02849","NRS1_02508","P10_00927","R50_02508","V521_02884"
"rpsU","","30S ribosomal protein S21","6","6","1","1","2168","","","","176","176","176","AR465_01762","M48_01560","NRS1_01569","P10_02005","R50_01569","V521_01609"
"lysA","","Diaminopimelate decarboxylase","6","6","1","1","3741","","","","1265","1265","1265","AR465_01935","M48_01387","NRS1_01330","P10_02243","R50_01330","V521_01435"
"tarA","","N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase","6","6","1","1","1459","","","","764","764","764","AR465_01135","M48_00691","NRS1_00553","P10_00203","R50_00553","V521_00731"
"ptpA","","Low molecular weight protein-tyrosine-phosphatase PtpA","6","6","1","1","2683","","","","464","464","464","AR465_01427","M48_01969","NRS1_01889","P10_01672","R50_01889","V521_02019"
"ywiB","","putative beta-barrel protein YwiB","6","6","1","1","1431","","","","416","416","416","AR465_01106","M48_00663","NRS1_00525","P10_00232","R50_00525","V521_00703"
"hpf","","Ribosome hibernation promotion factor","6","6","1","1","1575","","","","572","572","572","AR465_01249","M48_00806","NRS1_00668","P10_00089","R50_00668","V521_00845"
"yfmC_1","","Fe(3+)-citrate-binding protein YfmC","6","6","1","1","3350","","","","959","959","959","AR465_02298","M48_01023","NRS1_00951","P10_02607","R50_00951","V521_01068"
"cycA_1","","D-serine/D-alanine/glycine transporter","6","6","1","1","2054","","","","1361","1361","1361","AR465_01647","M48_01677","NRS1_01677","P10_01890","R50_01677","V521_01727"
"group_2228","","hypothetical protein","6","6","1","1","2043","","","","689","689","689","AR465_01636","M48_01689","NRS1_01688","P10_01880","R50_01688","V521_01740"
"rplK","","50S ribosomal protein L11","6","6","1","1","437","","","","422","422","422","AR465_01038","M48_00585","NRS1_00451","P10_00300","R50_00451","V521_00623"
"group_223","","hypothetical protein","6","6","1","1","3627","","","","212","212","212","AR465_02025","M48_01292","NRS1_01221","P10_02333","R50_01221","V521_01343"
"group_2230","","hypothetical protein","6","6","1","1","3596","","","","827","827","827","AR465_02054","M48_01263","NRS1_01192","P10_02362","R50_01192","V521_01313"
"atpF","","ATP synthase subunit b","6","6","1","1","1225","","","","521","521","521","AR465_02630","M48_02341","NRS1_02038","P10_01467","R50_02038","V521_02384"
"rpsS","","30S ribosomal protein S19","6","6","1","1","3151","","","","278","278","278","AR465_00043","M48_02486","NRS1_02169","P10_01266","R50_02169","V521_02525"
"group_2233","","hypothetical protein","6","6","1","1","1516","","","","617","617","617","AR465_01191","M48_00747","NRS1_00610","P10_00147","R50_00610","V521_00787"
"group_2234","","hypothetical protein","6","6","1","1","1659","","","","194","194","194","AR465_02496","M48_00897","NRS1_00755","P10_00024","R50_00755","V521_00937"
"group_2235","","hypothetical protein","6","6","1","1","2555","","","","464","464","464","AR465_01490","M48_01837","NRS1_01826","P10_01735","R50_01826","V521_01888"
"group_2236","","hypothetical protein","6","6","1","1","761","","","","353","353","353","AR465_00500","M48_02968","NRS1_02626","P10_00812","R50_02626","V521_03002"
"fosB","","Metallothiol transferase FosB","6","6","1","1","3066","","","","419","419","419","AR465_00128","M48_02570","NRS1_02254","P10_01181","R50_02254","V521_02610"
"group_2238","","hypothetical protein","6","6","1","1","3295","","","","185","185","185","AR465_02352","M48_00966","NRS1_00897","P10_02661","R50_00897","V521_01011"
"focA","","putative formate transporter 1","6","6","1","1","2935","","","","824","824","824","AR465_00801","M48_00276","NRS1_00224","P10_00512","R50_00224","V521_00318"
"mutS_1","","DNA mismatch repair protein MutS","6","6","1","1","3610","","","","1355","2618","2407","AR465_02040","M48_01277","NRS1_01206","P10_02348","R50_01206","V521_01327"
"tyrS","","Tyrosine--tRNA ligase","6","6","1","1","2022","","","","1262","1262","1262","AR465_01614","M48_01710","NRS1_01711","P10_01859","R50_01711","V521_01761"
"fusA","","Elongation factor G","6","6","1","1","427","","","","2081","2081","2081","AR465_01048","M48_00595","NRS1_00461","P10_00290","R50_00461","V521_00633"
"group_2242","","hypothetical protein","6","6","1","1","3550","","","","332","332","332","AR465_02099","M48_01218","NRS1_01147","P10_02408","R50_01147","V521_01267"
"group_2243","","hypothetical protein","6","6","1","1","2682","","","","275","275","275","AR465_01426","M48_01970","NRS1_01890","P10_01671","R50_01890","V521_02020"
"pyk","","Pyruvate kinase","6","6","1","1","2053","","","","1757","1757","1757","AR465_01646","M48_01680","NRS1_01678","P10_01889","R50_01678","V521_01730"
"group_2245","","hypothetical protein","6","6","1","1","1684","","","","128","128","128","AR465_02420","M48_01899","NRS1_00831","P10_02727","R50_00831","V521_01950"
"group_2246","","hypothetical protein","6","6","1","1","3404","","","","218","218","218","AR465_02245","M48_01074","NRS1_01003","P10_02554","R50_01003","V521_01121"
"group_2247","","hypothetical protein","6","6","1","1","3711","","","","437","437","437","AR465_01907","M48_01417","NRS1_01358","P10_02216","R50_01358","V521_01465"
"tcyB","","L-cystine transport system permease protein TcyB","6","6","1","1","49","","","","728","728","728","AR465_00206","M48_02650","NRS1_02332","P10_01104","R50_02332","V521_02690"
"mrpC","","Na(+)/H(+) antiporter subunit C","6","6","1","1","1448","","","","344","344","344","AR465_01123","M48_00680","NRS1_00542","P10_00215","R50_00542","V521_00720"
"group_2250","","putative protein","6","6","1","1","3673","","","","296","296","296","AR465_01981","M48_01342","NRS1_01268","P10_02289","R50_01268","V521_01388"
"tcyC_1","","L-cystine import ATP-binding protein TcyC","6","6","1","1","2565","","","","728","728","728","AR465_01480","M48_01847","NRS1_01836","P10_01725","R50_01836","V521_01898"
"yjjP","","Inner membrane protein YjjP","6","6","1","1","1567","","","","761","761","761","AR465_01242","M48_00798","NRS1_00661","P10_00096","R50_00661","V521_00838"
"hslV","","ATP-dependent protease subunit HslV","6","6","1","1","3568","","","","545","545","545","AR465_02082","M48_01235","NRS1_01164","P10_02390","R50_01164","V521_01285"
"cmk","","Cytidylate kinase","6","6","1","1","1956","","","","659","659","659","AR465_01860","M48_01464","NRS1_01404","P10_02169","R50_01404","V521_01512"
"qoxA","","putative quinol oxidase subunit 2","6","6","1","1","3374","","","","1100","1100","1100","AR465_02275","M48_01046","NRS1_00974","P10_02584","R50_00974","V521_01092"
"group_2256","","hypothetical protein","6","6","1","1","389","","","","452","452","452","AR465_01085","M48_00632","NRS1_00498","P10_00253","R50_00498","V521_00672"
"pgk","","Phosphoglycerate kinase","6","6","1","1","1597","","","","1190","1190","1190","AR465_01272","M48_00828","NRS1_00690","P10_00067","R50_00690","V521_00867"
"nupC_2","","Nucleoside permease NupC","6","6","1","1","453","","","","1214","1214","1214","AR465_01022","M48_00569","NRS1_00435","P10_00316","R50_00435","V521_00607"
"rpsH","","30S ribosomal protein S8","6","6","1","1","3161","","","","398","398","398","AR465_00033","M48_02476","NRS1_02159","P10_01276","R50_02159","V521_02515"
"topA","","DNA topoisomerase 1","6","6","1","1","3565","","","","1175","2075","1925","AR465_02085","M48_01232","NRS1_01161","P10_02393","R50_01161","V521_01282"
"saeR","","Response regulator SaeR","6","6","1","1","1529","","","","686","686","686","AR465_01204","M48_00760","NRS1_00623","P10_00134","R50_00623","V521_00800"
"sarU","","HTH-type transcriptional regulator SarU","6","6","1","1","145","","","","743","743","743","AR465_00291","M48_02730","NRS1_02418","P10_01020","R50_02418","V521_02769"
"group_2262","","hypothetical protein","6","6","1","1","182","","","","203","203","203","AR465_00326","M48_02766","NRS1_02452","P10_00986","R50_02452","V521_02804"
"rplY","","50S ribosomal protein L25","6","6","1","1","473","","","","653","653","653","AR465_00993","M48_00540","NRS1_00407","P10_00345","R50_00407","V521_00578"
"group_2264","","Phosphorylated carbohydrates phosphatase","6","6","1","1","3079","","","","635","635","635","AR465_00115","M48_02557","NRS1_02241","P10_01194","R50_02241","V521_02597"
"rplL","","50S ribosomal protein L7/L12","6","6","1","1","434","","","","368","368","368","AR465_01041","M48_00588","NRS1_00454","P10_00297","R50_00454","V521_00626"
"group_2266","","hypothetical protein","6","6","1","1","1654","","","","296","296","296","AR465_02500","M48_00870","NRS1_00751","P10_00028","R50_00751","V521_00908"
"group_2267","","Putative transport protein","6","6","1","1","3679","","","","1148","1148","1148","AR465_01975","M48_01348","NRS1_01274","P10_02283","R50_01274","V521_01395"
"ydeN","","Putative hydrolase YdeN","6","6","1","1","2539","","","","554","554","554","AR465_01506","M48_01821","NRS1_01810","P10_01751","R50_01810","V521_01872"
"recA","","Protein RecA","6","6","1","1","3600","","","","1043","1043","1043","AR465_02050","M48_01267","NRS1_01196","P10_02358","R50_01196","V521_01317"
"fabG","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","6","6","1","1","3545","","","","734","734","734","AR465_02104","M48_01213","NRS1_01142","P10_02413","R50_01142","V521_01262"
"group_2275","","hypothetical protein","6","6","1","1","3666","","","","467","467","467","AR465_01988","M48_01335","NRS1_01261","P10_02296","R50_01261","V521_01381"
"group_2276","","hypothetical protein","6","6","1","1","1485","","","","617","617","617","AR465_01161","M48_00717","NRS1_00579","P10_00177","R50_00579","V521_00757"
"group_2277","","hypothetical protein","6","6","1","1","3430","","","","461","461","461","AR465_02219","M48_01100","NRS1_01029","P10_02528","R50_01029","V521_01147"
"group_2278","","hypothetical protein","6","6","1","1","1246","","","","137","137","137","AR465_02609","M48_02320","NRS1_02017","P10_01488","R50_02017","V521_02363"
"group_2279","","hypothetical protein","6","6","1","1","3256","","","","1316","1316","1316","AR465_02390","M48_00928","NRS1_00858","P10_02699","R50_00858","V521_00972"
"fepC","","Ferric enterobactin transport ATP-binding protein FepC","6","6","1","1","1469","","","","797","797","797","AR465_01145","M48_00701","NRS1_00563","P10_00193","R50_00563","V521_00741"
"rpsO","","30S ribosomal protein S15","6","6","1","1","3588","","","","269","269","269","AR465_02062","M48_01255","NRS1_01184","P10_02370","R50_01184","V521_01305"
"cdd","","Cytidine deaminase","6","6","1","1","2175","","","","404","404","404","AR465_01769","M48_01553","NRS1_01562","P10_02012","R50_01562","V521_01602"
"group_2283","","hypothetical protein","6","6","1","1","2652","","","","602","602","602","AR465_01396","M48_02000","NRS1_01920","P10_01641","R50_01920","V521_02050"
"group_2284","","hypothetical protein","6","6","1","1","1639","","","","260","260","260","AR465_02515","M48_00855","NRS1_00736","P10_00043","R50_00736","V521_00893"
"mazE","","Antitoxin MazE","6","6","1","1","1262","","","","170","170","170","AR465_02593","M48_02305","NRS1_02002","P10_01504","R50_02002","V521_02348"
"lspA","","Lipoprotein signal peptidase","6","6","1","1","3509","","","","491","491","491","AR465_02139","M48_01178","NRS1_01107","P10_02448","R50_01107","V521_01227"
"ftsW","","putative peptidoglycan glycosyltransferase FtsW","6","6","1","1","3426","","","","1226","1226","1226","AR465_02223","M48_01096","NRS1_01025","P10_02532","R50_01025","V521_01143"
"group_2288","","hypothetical protein","6","6","1","1","3368","","","","470","470","470","AR465_02281","M48_01040","NRS1_00968","P10_02590","R50_00968","V521_01086"
"purS","","Phosphoribosylformylglycinamidine synthase subunit PurS","6","6","1","1","3380","","","","263","263","263","AR465_02268","M48_01052","NRS1_00980","P10_02577","R50_00980","V521_01098"
"pdhD","","Dihydrolipoyl dehydrogenase","6","6","1","1","3410","","","","1406","1406","1406","AR465_02239","M48_01080","NRS1_01009","P10_02548","R50_01009","V521_01127"
"fabI","","Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI","6","6","1","1","3324","","","","770","770","770","AR465_02324","M48_00995","NRS1_00925","P10_02633","R50_00925","V521_01040"
"icaR","","Biofilm operon icaADBC HTH-type negative transcriptional regulator IcaR","6","6","1","1","714","","","","560","560","560","AR465_00459","M48_02924","NRS1_02584","P10_00852","R50_02584","V521_02958"
"pdhA","","Pyruvate dehydrogenase E1 component subunit alpha","6","6","1","1","3407","","","","1112","1112","1112","AR465_02242","M48_01077","NRS1_01006","P10_02551","R50_01006","V521_01124"
"acnA","","Aconitate hydratase A","6","6","1","1","3671","","","","2705","2705","2705","AR465_01983","M48_01340","NRS1_01266","P10_02291","R50_01266","V521_01386"
"arlS","","Signal transduction histidine-protein kinase ArlS","6","6","1","1","3727","","","","1355","1355","1355","AR465_01921","M48_01402","NRS1_01344","P10_02229","R50_01344","V521_01450"
"group_2296","","hypothetical protein","6","6","1","1","3338","","","","569","569","569","AR465_02308","M48_01011","NRS1_00941","P10_02617","R50_00941","V521_01056"
